"Used_laptop","Education","Locality","Geographic_Area","Sex","15-19","20-24","25-29","30-34","35-39"
"No","Tertiary/HND","Urban","Northern","Female",10,330,1109,1222,583
"No","Tertiary/HND","Urban","TMA-Tamale Central","Both sexes",9,118,361,501,368
"No","Tertiary/HND","Urban","TMA-Tamale Central","Male",6,60,201,300,256
"No","Tertiary/HND","Urban","TMA-Tamale Central","Female",3,58,160,201,112
"No","Tertiary/HND","Urban","Savannah","Both sexes",2,61,277,328,217
"No","Tertiary/HND","Urban","Savannah","Male",0,29,160,228,170
"No","Tertiary/HND","Urban","Savannah","Female",2,32,117,100,47
"No","Tertiary/HND","Urban","Central Gonja","Both sexes",0,11,68,50,40
"No","Tertiary/HND","Urban","Central Gonja","Male",0,6,46,41,33
"No","Tertiary/HND","Urban","Central Gonja","Female",0,5,22,9,7
"No","Tertiary/HND","Urban","Upper East","Both sexes",7,183,905,1151,668
"No","Tertiary/HND","Urban","Upper East","Male",4,82,445,696,435
"No","Tertiary/HND","Urban","Upper East","Female",3,101,460,455,233
"No","Tertiary/HND","Urban","Upper West","Both sexes",9,161,656,899,582
"No","Tertiary/HND","Urban","Upper West","Male",5,90,367,550,405
"No","Tertiary/HND","Urban","Upper West","Female",4,71,289,349,177
"No","Tertiary - Bachelor's Degree","All Locality Types","Western","Both sexes",69,1556,7337,8753,6433
"No","Tertiary - Bachelor's Degree","All Locality Types","Western","Male",34,842,4124,5064,3934
"No","Tertiary - Bachelor's Degree","All Locality Types","Western","Female",35,714,3213,3689,2499
"No","Tertiary - Bachelor's Degree","All Locality Types","Wassa Amenfi Central","Both sexes",1,26,133,190,108
"No","Tertiary - Bachelor's Degree","All Locality Types","Wassa Amenfi Central","Male",1,18,94,152,86
"No","Tertiary - Bachelor's Degree","All Locality Types","Wassa Amenfi Central","Female",0,8,39,38,22
"No","Tertiary - Bachelor's Degree","All Locality Types","Central","Both sexes",118,2173,9035,11563,9034
"No","Tertiary - Bachelor's Degree","All Locality Types","Central","Male",65,1117,4828,6388,5457
"No","Tertiary - Bachelor's Degree","All Locality Types","Central","Female",53,1056,4207,5175,3577
"No","Tertiary - Bachelor's Degree","All Locality Types","Gomoa Central","Both sexes",3,50,246,320,250
"No","Tertiary - Bachelor's Degree","All Locality Types","Gomoa Central","Male",3,27,118,167,136
"No","Tertiary - Bachelor's Degree","All Locality Types","Gomoa Central","Female",0,23,128,153,114
"No","Tertiary - Bachelor's Degree","All Locality Types","Greater Accra","Both sexes",559,14058,43507,47984,35810
"No","Tertiary - Bachelor's Degree","All Locality Types","Greater Accra","Male",272,6761,21551,24016,18984
"No","Tertiary - Bachelor's Degree","All Locality Types","Greater Accra","Female",287,7297,21956,23968,16826
"No","Tertiary - Bachelor's Degree","All Locality Types","Ga Central Municipal","Both sexes",39,1194,3793,4004,2758
"No","Tertiary - Bachelor's Degree","All Locality Types","Ga Central Municipal","Male",23,579,1896,2034,1501
"No","Tertiary - Bachelor's Degree","All Locality Types","Ga Central Municipal","Female",16,615,1897,1970,1257
"No","Tertiary - Bachelor's Degree","All Locality Types","Ablekuma Central Municipal","Both sexes",18,358,1186,1157,921
"No","Tertiary - Bachelor's Degree","All Locality Types","Ablekuma Central Municipal","Male",8,166,581,605,506
"No","Tertiary - Bachelor's Degree","All Locality Types","Ablekuma Central Municipal","Female",10,192,605,552,415
"No","Tertiary - Bachelor's Degree","All Locality Types","Ayawaso Central Municipal","Both sexes",7,261,715,744,498
"No","Tertiary - Bachelor's Degree","All Locality Types","Ayawaso Central Municipal","Male",4,144,354,400,283
"No","Tertiary - Bachelor's Degree","All Locality Types","Ayawaso Central Municipal","Female",3,117,361,344,215
"No","Tertiary - Bachelor's Degree","All Locality Types","TMA-Tema Central","Both sexes",9,278,783,961,885
"No","Tertiary - Bachelor's Degree","All Locality Types","TMA-Tema Central","Male",4,127,378,419,366
"No","Tertiary - Bachelor's Degree","All Locality Types","TMA-Tema Central","Female",5,151,405,542,519
"No","Tertiary - Bachelor's Degree","All Locality Types","Volta","Both sexes",33,603,3050,5376,4938
"No","Tertiary - Bachelor's Degree","All Locality Types","Volta","Male",21,345,1700,2926,3034
"No","Tertiary - Bachelor's Degree","All Locality Types","Volta","Female",12,258,1350,2450,1904
"No","Tertiary - Bachelor's Degree","All Locality Types","Central Tongu","Both sexes",0,20,106,203,142
"No","Tertiary - Bachelor's Degree","All Locality Types","Central Tongu","Male",0,14,56,138,100
"No","Tertiary - Bachelor's Degree","All Locality Types","Central Tongu","Female",0,6,50,65,42
"No","Tertiary - Bachelor's Degree","All Locality Types","Eastern","Both sexes",102,1738,8047,11422,9497
"No","Tertiary - Bachelor's Degree","All Locality Types","Eastern","Male",54,882,4219,6226,5575
"No","Tertiary - Bachelor's Degree","All Locality Types","Eastern","Female",48,856,3828,5196,3922
"No","Tertiary - Bachelor's Degree","All Locality Types","Birim Central Municipal","Both sexes",4,70,302,441,347
"No","Tertiary - Bachelor's Degree","All Locality Types","Birim Central Municipal","Male",2,34,161,241,195
"No","Tertiary - Bachelor's Degree","All Locality Types","Birim Central Municipal","Female",2,36,141,200,152
"No","Tertiary - Bachelor's Degree","All Locality Types","Upper West Akim","Both sexes",1,26,109,162,178
"No","Tertiary - Bachelor's Degree","All Locality Types","Upper West Akim","Male",1,11,65,99,104
"No","Tertiary - Bachelor's Degree","All Locality Types","Upper West Akim","Female",0,15,44,63,74
"No","Tertiary - Bachelor's Degree","All Locality Types","Ashanti","Both sexes",303,6068,23799,29655,21385
"No","Tertiary - Bachelor's Degree","All Locality Types","Ashanti","Male",180,3101,12983,16401,12492
"No","Tertiary - Bachelor's Degree","All Locality Types","Ashanti","Female",123,2967,10816,13254,8893
"No","Tertiary - Bachelor's Degree","All Locality Types","Amansie Central","Both sexes",1,17,144,233,135
"No","Tertiary - Bachelor's Degree","All Locality Types","Amansie Central","Male",1,7,85,140,96
"No","Tertiary - Bachelor's Degree","All Locality Types","Amansie Central","Female",0,10,59,93,39
"No","Tertiary - Bachelor's Degree","All Locality Types","Asante Akim Central Municipal","Both sexes",2,74,424,578,404
"No","Tertiary - Bachelor's Degree","All Locality Types","Asante Akim Central Municipal","Male",0,39,231,322,231
"No","Tertiary - Bachelor's Degree","All Locality Types","Asante Akim Central Municipal","Female",2,35,193,256,173
"No","Tertiary - Bachelor's Degree","All Locality Types","Ahafo Ano South West","Both sexes",0,8,92,162,68
"No","Tertiary - Bachelor's Degree","All Locality Types","Ahafo Ano South West","Male",0,7,48,100,45
"No","Tertiary - Bachelor's Degree","All Locality Types","Ahafo Ano South West","Female",0,1,44,62,23
"No","Tertiary - Bachelor's Degree","All Locality Types","Ahafo Ano North Municipal","Both sexes",1,35,184,365,259
"No","Tertiary - Bachelor's Degree","All Locality Types","Ahafo Ano North Municipal","Male",1,19,103,231,170
"No","Tertiary - Bachelor's Degree","All Locality Types","Ahafo Ano North Municipal","Female",0,16,81,134,89
"No","Tertiary - Bachelor's Degree","All Locality Types","Ahafo Ano South East","Both sexes",0,19,124,161,107
"No","Tertiary - Bachelor's Degree","All Locality Types","Ahafo Ano South East","Male",0,14,77,95,71
"No","Tertiary - Bachelor's Degree","All Locality Types","Ahafo Ano South East","Female",0,5,47,66,36
"No","Tertiary - Bachelor's Degree","All Locality Types","Sekyere Central","Both sexes",1,26,137,286,162
"No","Tertiary - Bachelor's Degree","All Locality Types","Sekyere Central","Male",1,12,77,176,120
"No","Tertiary - Bachelor's Degree","All Locality Types","Sekyere Central","Female",0,14,60,110,42
"No","Tertiary - Bachelor's Degree","All Locality Types","Western North","Both sexes",14,323,2162,2777,1900
"No","Tertiary - Bachelor's Degree","All Locality Types","Western North","Male",10,188,1410,2034,1470
"No","Tertiary - Bachelor's Degree","All Locality Types","Western North","Female",4,135,752,743,430
"No","Tertiary - Bachelor's Degree","All Locality Types","Ahafo","Both sexes",21,247,1648,2169,1547
"No","Tertiary - Bachelor's Degree","All Locality Types","Ahafo","Male",16,138,1012,1408,1081
"No","Tertiary - Bachelor's Degree","All Locality Types","Ahafo","Female",5,109,636,761,466
"No","Tertiary - Bachelor's Degree","All Locality Types","Bono","Both sexes",36,940,5064,6634,4810
"No","Tertiary - Bachelor's Degree","All Locality Types","Bono","Male",21,516,2856,3899,3069
"No","Tertiary - Bachelor's Degree","All Locality Types","Bono","Female",15,424,2208,2735,1741
"No","Tertiary - Bachelor's Degree","All Locality Types","Dormaa Central Municipal","Both sexes",3,82,417,564,366
"No","Tertiary - Bachelor's Degree","All Locality Types","Dormaa Central Municipal","Male",2,60,249,373,257
"No","Tertiary - Bachelor's Degree","All Locality Types","Dormaa Central Municipal","Female",1,22,168,191,109
"No","Tertiary - Bachelor's Degree","All Locality Types","Bono East","Both sexes",20,449,2553,3988,2927
"No","Tertiary - Bachelor's Degree","All Locality Types","Bono East","Male",9,247,1569,2594,2073
"No","Tertiary - Bachelor's Degree","All Locality Types","Bono East","Female",11,202,984,1394,854
"No","Tertiary - Bachelor's Degree","All Locality Types","Oti","Both sexes",9,130,857,1374,1180
"No","Tertiary - Bachelor's Degree","All Locality Types","Oti","Male",8,86,571,961,907
"No","Tertiary - Bachelor's Degree","All Locality Types","Oti","Female",1,44,286,413,273
"No","Tertiary - Bachelor's Degree","All Locality Types","Northern","Both sexes",52,850,3817,6359,5267
"No","Tertiary - Bachelor's Degree","All Locality Types","Northern","Male",26,454,2266,4218,3752
"No","Tertiary - Bachelor's Degree","All Locality Types","Northern","Female",26,396,1551,2141,1515
"No","Tertiary - Bachelor's Degree","All Locality Types","TMA-Tamale Central","Both sexes",5,111,453,691,563
"No","Tertiary - Bachelor's Degree","All Locality Types","TMA-Tamale Central","Male",3,48,237,425,378
"No","Tertiary - Bachelor's Degree","All Locality Types","TMA-Tamale Central","Female",2,63,216,266,185
"No","Tertiary - Bachelor's Degree","All Locality Types","Savannah","Both sexes",6,118,636,1021,781
"No","Tertiary - Bachelor's Degree","All Locality Types","Savannah","Male",5,73,396,763,621
"No","Tertiary - Bachelor's Degree","All Locality Types","Savannah","Female",1,45,240,258,160
"No","Tertiary - Bachelor's Degree","All Locality Types","Central Gonja","Both sexes",0,26,98,160,101
"No","Tertiary - Bachelor's Degree","All Locality Types","Central Gonja","Male",0,14,63,128,89
"No","Tertiary - Bachelor's Degree","All Locality Types","Central Gonja","Female",0,12,35,32,12
"No","Tertiary - Bachelor's Degree","All Locality Types","Upper East","Both sexes",23,323,1827,3502,2957
"No","Tertiary - Bachelor's Degree","All Locality Types","Upper East","Male",14,174,1150,2282,2096
"No","Tertiary - Bachelor's Degree","All Locality Types","Upper East","Female",9,149,677,1220,861
"No","Tertiary - Bachelor's Degree","All Locality Types","Upper West","Both sexes",12,230,1452,2490,2169
"No","Tertiary - Bachelor's Degree","All Locality Types","Upper West","Male",4,139,913,1618,1470
"No","Tertiary - Bachelor's Degree","All Locality Types","Upper West","Female",8,91,539,872,699
"No","Tertiary - Bachelor's Degree","Rural","Western","Both sexes",17,282,1470,1845,1270
"No","Tertiary - Bachelor's Degree","Rural","Western","Male",6,176,897,1244,906
"No","Tertiary - Bachelor's Degree","Rural","Western","Female",11,106,573,601,364
"No","Tertiary - Bachelor's Degree","Rural","Wassa Amenfi Central","Both sexes",0,21,75,102,62
"No","Tertiary - Bachelor's Degree","Rural","Wassa Amenfi Central","Male",0,16,57,80,53
"No","Tertiary - Bachelor's Degree","Rural","Wassa Amenfi Central","Female",0,5,18,22,9
"No","Tertiary - Bachelor's Degree","Rural","Central","Both sexes",29,299,1891,2756,2288
"No","Tertiary - Bachelor's Degree","Rural","Central","Male",16,166,1101,1614,1515
"No","Tertiary - Bachelor's Degree","Rural","Central","Female",13,133,790,1142,773
"No","Tertiary - Bachelor's Degree","Rural","Gomoa Central","Both sexes",2,33,157,220,170
"No","Tertiary - Bachelor's Degree","Rural","Gomoa Central","Male",2,20,80,117,94
"No","Tertiary - Bachelor's Degree","Rural","Gomoa Central","Female",0,13,77,103,76
"No","Tertiary - Bachelor's Degree","Rural","Greater Accra","Both sexes",30,467,1568,2180,1807
"No","Tertiary - Bachelor's Degree","Rural","Greater Accra","Male",15,226,802,1089,989
"No","Tertiary - Bachelor's Degree","Rural","Greater Accra","Female",15,241,766,1091,818
"No","Tertiary - Bachelor's Degree","Rural","Ga Central Municipal","Both sexes",0,0,0,0,0
"No","Tertiary - Bachelor's Degree","Rural","Ga Central Municipal","Male",0,0,0,0,0
"No","Tertiary - Bachelor's Degree","Rural","Ga Central Municipal","Female",0,0,0,0,0
"No","Tertiary - Bachelor's Degree","Rural","Ablekuma Central Municipal","Both sexes",0,0,0,0,0
"No","Tertiary - Bachelor's Degree","Rural","Ablekuma Central Municipal","Male",0,0,0,0,0
"No","Tertiary - Bachelor's Degree","Rural","Ablekuma Central Municipal","Female",0,0,0,0,0
"No","Tertiary - Bachelor's Degree","Rural","Ayawaso Central Municipal","Both sexes",0,0,0,0,0
"No","Tertiary - Bachelor's Degree","Rural","Ayawaso Central Municipal","Male",0,0,0,0,0
"No","Tertiary - Bachelor's Degree","Rural","Ayawaso Central Municipal","Female",0,0,0,0,0
"No","Tertiary - Bachelor's Degree","Rural","TMA-Tema Central","Both sexes",0,0,0,0,0
"No","Tertiary - Bachelor's Degree","Rural","TMA-Tema Central","Male",0,0,0,0,0
"No","Tertiary - Bachelor's Degree","Rural","TMA-Tema Central","Female",0,0,0,0,0
"No","Tertiary - Bachelor's Degree","Rural","Volta","Both sexes",16,191,1041,1918,1710
"No","Tertiary - Bachelor's Degree","Rural","Volta","Male",11,115,584,1137,1165
"No","Tertiary - Bachelor's Degree","Rural","Volta","Female",5,76,457,781,545
"No","Tertiary - Bachelor's Degree","Rural","Central Tongu","Both sexes",0,11,51,113,83
"No","Tertiary - Bachelor's Degree","Rural","Central Tongu","Male",0,8,29,81,67
"No","Tertiary - Bachelor's Degree","Rural","Central Tongu","Female",0,3,22,32,16
"No","Tertiary - Bachelor's Degree","Rural","Eastern","Both sexes",25,335,1819,2740,2321
"No","Tertiary - Bachelor's Degree","Rural","Eastern","Male",17,194,1003,1601,1448
"No","Tertiary - Bachelor's Degree","Rural","Eastern","Female",8,141,816,1139,873
"No","Tertiary - Bachelor's Degree","Rural","Birim Central Municipal","Both sexes",0,0,3,1,3
"No","Tertiary - Bachelor's Degree","Rural","Birim Central Municipal","Male",0,0,2,0,2
"No","Tertiary - Bachelor's Degree","Rural","Birim Central Municipal","Female",0,0,1,1,1
"No","Tertiary - Bachelor's Degree","Rural","Upper West Akim","Both sexes",1,8,54,70,78
"No","Tertiary - Bachelor's Degree","Rural","Upper West Akim","Male",1,4,35,44,46
"No","Tertiary - Bachelor's Degree","Rural","Upper West Akim","Female",0,4,19,26,32
"No","Tertiary - Bachelor's Degree","Rural","Ashanti","Both sexes",48,878,4046,5904,4416
"No","Tertiary - Bachelor's Degree","Rural","Ashanti","Male",28,455,2297,3541,2782
"No","Tertiary - Bachelor's Degree","Rural","Ashanti","Female",20,423,1749,2363,1634
"No","Tertiary - Bachelor's Degree","Rural","Amansie Central","Both sexes",0,11,75,162,87
"No","Tertiary - Bachelor's Degree","Rural","Amansie Central","Male",0,5,45,103,60
"No","Tertiary - Bachelor's Degree","Rural","Amansie Central","Female",0,6,30,59,27
"No","Tertiary - Bachelor's Degree","Rural","Asante Akim Central Municipal","Both sexes",2,11,57,70,65
"No","Tertiary - Bachelor's Degree","Rural","Asante Akim Central Municipal","Male",0,6,32,47,45
"No","Tertiary - Bachelor's Degree","Rural","Asante Akim Central Municipal","Female",2,5,25,23,20
"No","Tertiary - Bachelor's Degree","Rural","Ahafo Ano South West","Both sexes",0,2,45,76,32
"No","Tertiary - Bachelor's Degree","Rural","Ahafo Ano South West","Male",0,2,24,55,22
"No","Tertiary - Bachelor's Degree","Rural","Ahafo Ano South West","Female",0,0,21,21,10
"No","Tertiary - Bachelor's Degree","Rural","Ahafo Ano North Municipal","Both sexes",1,8,56,133,90
"No","Tertiary - Bachelor's Degree","Rural","Ahafo Ano North Municipal","Male",1,5,40,102,65
"No","Tertiary - Bachelor's Degree","Rural","Ahafo Ano North Municipal","Female",0,3,16,31,25
"No","Tertiary - Bachelor's Degree","Rural","Ahafo Ano South East","Both sexes",0,11,51,66,44
"No","Tertiary - Bachelor's Degree","Rural","Ahafo Ano South East","Male",0,9,27,35,31
"No","Tertiary - Bachelor's Degree","Rural","Ahafo Ano South East","Female",0,2,24,31,13
"No","Tertiary - Bachelor's Degree","Rural","Sekyere Central","Both sexes",0,12,54,97,57
"No","Tertiary - Bachelor's Degree","Rural","Sekyere Central","Male",0,5,34,59,45
"No","Tertiary - Bachelor's Degree","Rural","Sekyere Central","Female",0,7,20,38,12
"No","Tertiary - Bachelor's Degree","Rural","Western North","Both sexes",9,135,888,1133,762
"No","Tertiary - Bachelor's Degree","Rural","Western North","Male",7,87,590,875,614
"No","Tertiary - Bachelor's Degree","Rural","Western North","Female",2,48,298,258,148
"No","Tertiary - Bachelor's Degree","Rural","Ahafo","Both sexes",6,44,360,521,366
"No","Tertiary - Bachelor's Degree","Rural","Ahafo","Male",4,25,237,364,287
"No","Tertiary - Bachelor's Degree","Rural","Ahafo","Female",2,19,123,157,79
"No","Tertiary - Bachelor's Degree","Rural","Bono","Both sexes",10,149,946,1268,938
"No","Tertiary - Bachelor's Degree","Rural","Bono","Male",8,90,601,778,659
"No","Tertiary - Bachelor's Degree","Rural","Bono","Female",2,59,345,490,279
"No","Tertiary - Bachelor's Degree","Rural","Dormaa Central Municipal","Both sexes",2,21,122,178,91
"No","Tertiary - Bachelor's Degree","Rural","Dormaa Central Municipal","Male",2,15,74,122,73
"No","Tertiary - Bachelor's Degree","Rural","Dormaa Central Municipal","Female",0,6,48,56,18
"No","Tertiary - Bachelor's Degree","Rural","Bono East","Both sexes",6,81,456,746,563
"No","Tertiary - Bachelor's Degree","Rural","Bono East","Male",2,56,303,530,434
"No","Tertiary - Bachelor's Degree","Rural","Bono East","Female",4,25,153,216,129
"No","Tertiary - Bachelor's Degree","Rural","Oti","Both sexes",4,65,341,502,463
"No","Tertiary - Bachelor's Degree","Rural","Oti","Male",3,43,231,364,366
"No","Tertiary - Bachelor's Degree","Rural","Oti","Female",1,22,110,138,97
"No","Tertiary - Bachelor's Degree","Rural","Northern","Both sexes",8,97,422,746,623
"No","Tertiary - Bachelor's Degree","Rural","Northern","Male",8,73,292,565,479
"No","Tertiary - Bachelor's Degree","Rural","Northern","Female",0,24,130,181,144
"No","Tertiary - Bachelor's Degree","Rural","TMA-Tamale Central","Both sexes",0,0,0,0,0
"No","Tertiary - Bachelor's Degree","Rural","TMA-Tamale Central","Male",0,0,0,0,0
"No","Tertiary - Bachelor's Degree","Rural","TMA-Tamale Central","Female",0,0,0,0,0
"No","Tertiary - Bachelor's Degree","Rural","Savannah","Both sexes",2,33,154,216,145
"No","Tertiary - Bachelor's Degree","Rural","Savannah","Male",2,25,102,168,128
"No","Tertiary - Bachelor's Degree","Rural","Savannah","Female",0,8,52,48,17
"No","Tertiary - Bachelor's Degree","Rural","Central Gonja","Both sexes",0,10,33,45,24
"No","Tertiary - Bachelor's Degree","Rural","Central Gonja","Male",0,7,22,33,23
"No","Tertiary - Bachelor's Degree","Rural","Central Gonja","Female",0,3,11,12,1
"No","Tertiary - Bachelor's Degree","Rural","Upper East","Both sexes",11,127,728,1387,1129
"No","Tertiary - Bachelor's Degree","Rural","Upper East","Male",5,71,488,1002,905
"No","Tertiary - Bachelor's Degree","Rural","Upper East","Female",6,56,240,385,224
"No","Tertiary - Bachelor's Degree","Rural","Upper West","Both sexes",5,61,421,684,611
"No","Tertiary - Bachelor's Degree","Rural","Upper West","Male",2,36,300,510,480
"No","Tertiary - Bachelor's Degree","Rural","Upper West","Female",3,25,121,174,131
"No","Tertiary - Bachelor's Degree","Urban","Western","Both sexes",52,1274,5867,6908,5163
"No","Tertiary - Bachelor's Degree","Urban","Western","Male",28,666,3227,3820,3028
"No","Tertiary - Bachelor's Degree","Urban","Western","Female",24,608,2640,3088,2135
"No","Tertiary - Bachelor's Degree","Urban","Wassa Amenfi Central","Both sexes",1,5,58,88,46
"No","Tertiary - Bachelor's Degree","Urban","Wassa Amenfi Central","Male",1,2,37,72,33
"No","Tertiary - Bachelor's Degree","Urban","Wassa Amenfi Central","Female",0,3,21,16,13
"No","Tertiary - Bachelor's Degree","Urban","Central","Both sexes",89,1874,7144,8807,6746
"No","Tertiary - Bachelor's Degree","Urban","Central","Male",49,951,3727,4774,3942
"No","Tertiary - Bachelor's Degree","Urban","Central","Female",40,923,3417,4033,2804
"No","Tertiary - Bachelor's Degree","Urban","Gomoa Central","Both sexes",1,17,89,100,80
"No","Tertiary - Bachelor's Degree","Urban","Gomoa Central","Male",1,7,38,50,42
"No","Tertiary - Bachelor's Degree","Urban","Gomoa Central","Female",0,10,51,50,38
"No","Tertiary - Bachelor's Degree","Urban","Greater Accra","Both sexes",529,13591,41939,45804,34003
"No","Tertiary - Bachelor's Degree","Urban","Greater Accra","Male",257,6535,20749,22927,17995
"No","Tertiary - Bachelor's Degree","Urban","Greater Accra","Female",272,7056,21190,22877,16008
"No","Tertiary - Bachelor's Degree","Urban","Ga Central Municipal","Both sexes",39,1194,3793,4004,2758
"No","Tertiary - Bachelor's Degree","Urban","Ga Central Municipal","Male",23,579,1896,2034,1501
"No","Tertiary - Bachelor's Degree","Urban","Ga Central Municipal","Female",16,615,1897,1970,1257
"No","Tertiary - Bachelor's Degree","Urban","Ablekuma Central Municipal","Both sexes",18,358,1186,1157,921
"No","Tertiary - Bachelor's Degree","Urban","Ablekuma Central Municipal","Male",8,166,581,605,506
"No","Tertiary - Bachelor's Degree","Urban","Ablekuma Central Municipal","Female",10,192,605,552,415
"No","Tertiary - Bachelor's Degree","Urban","Ayawaso Central Municipal","Both sexes",7,261,715,744,498
"No","Tertiary - Bachelor's Degree","Urban","Ayawaso Central Municipal","Male",4,144,354,400,283
"No","Tertiary - Bachelor's Degree","Urban","Ayawaso Central Municipal","Female",3,117,361,344,215
"No","Tertiary - Bachelor's Degree","Urban","TMA-Tema Central","Both sexes",9,278,783,961,885
"No","Tertiary - Bachelor's Degree","Urban","TMA-Tema Central","Male",4,127,378,419,366
"No","Tertiary - Bachelor's Degree","Urban","TMA-Tema Central","Female",5,151,405,542,519
"No","Tertiary - Bachelor's Degree","Urban","Volta","Both sexes",17,412,2009,3458,3228
"No","Tertiary - Bachelor's Degree","Urban","Volta","Male",10,230,1116,1789,1869
"No","Tertiary - Bachelor's Degree","Urban","Volta","Female",7,182,893,1669,1359
"No","Tertiary - Bachelor's Degree","Urban","Central Tongu","Both sexes",0,9,55,90,59
"No","Tertiary - Bachelor's Degree","Urban","Central Tongu","Male",0,6,27,57,33
"No","Tertiary - Bachelor's Degree","Urban","Central Tongu","Female",0,3,28,33,26
"No","Tertiary - Bachelor's Degree","Urban","Eastern","Both sexes",77,1403,6228,8682,7176
"No","Tertiary - Bachelor's Degree","Urban","Eastern","Male",37,688,3216,4625,4127
"No","Tertiary - Bachelor's Degree","Urban","Eastern","Female",40,715,3012,4057,3049
"No","Tertiary - Bachelor's Degree","Urban","Birim Central Municipal","Both sexes",4,70,299,440,344
"No","Tertiary - Bachelor's Degree","Urban","Birim Central Municipal","Male",2,34,159,241,193
"No","Tertiary - Bachelor's Degree","Urban","Birim Central Municipal","Female",2,36,140,199,151
"No","Tertiary - Bachelor's Degree","Urban","Upper West Akim","Both sexes",0,18,55,92,100
"No","Tertiary - Bachelor's Degree","Urban","Upper West Akim","Male",0,7,30,55,58
"No","Tertiary - Bachelor's Degree","Urban","Upper West Akim","Female",0,11,25,37,42
"No","Tertiary - Bachelor's Degree","Urban","Ashanti","Both sexes",255,5190,19753,23751,16969
"No","Tertiary - Bachelor's Degree","Urban","Ashanti","Male",152,2646,10686,12860,9710
"No","Tertiary - Bachelor's Degree","Urban","Ashanti","Female",103,2544,9067,10891,7259
"No","Tertiary - Bachelor's Degree","Urban","Amansie Central","Both sexes",1,6,69,71,48
"No","Tertiary - Bachelor's Degree","Urban","Amansie Central","Male",1,2,40,37,36
"No","Tertiary - Bachelor's Degree","Urban","Amansie Central","Female",0,4,29,34,12
"No","Tertiary - Bachelor's Degree","Urban","Asante Akim Central Municipal","Both sexes",0,63,367,508,339
"No","Tertiary - Bachelor's Degree","Urban","Asante Akim Central Municipal","Male",0,33,199,275,186
"No","Tertiary - Bachelor's Degree","Urban","Asante Akim Central Municipal","Female",0,30,168,233,153
"No","Tertiary - Bachelor's Degree","Urban","Ahafo Ano South West","Both sexes",0,6,47,86,36
"No","Tertiary - Bachelor's Degree","Urban","Ahafo Ano South West","Male",0,5,24,45,23
"No","Tertiary - Bachelor's Degree","Urban","Ahafo Ano South West","Female",0,1,23,41,13
"No","Tertiary - Bachelor's Degree","Urban","Ahafo Ano North Municipal","Both sexes",0,27,128,232,169
"No","Tertiary - Bachelor's Degree","Urban","Ahafo Ano North Municipal","Male",0,14,63,129,105
"No","Tertiary - Bachelor's Degree","Urban","Ahafo Ano North Municipal","Female",0,13,65,103,64
"No","Tertiary - Bachelor's Degree","Urban","Ahafo Ano South East","Both sexes",0,8,73,95,63
"No","Tertiary - Bachelor's Degree","Urban","Ahafo Ano South East","Male",0,5,50,60,40
"No","Tertiary - Bachelor's Degree","Urban","Ahafo Ano South East","Female",0,3,23,35,23
"No","Tertiary - Bachelor's Degree","Urban","Sekyere Central","Both sexes",1,14,83,189,105
"No","Tertiary - Bachelor's Degree","Urban","Sekyere Central","Male",1,7,43,117,75
"No","Tertiary - Bachelor's Degree","Urban","Sekyere Central","Female",0,7,40,72,30
"No","Tertiary - Bachelor's Degree","Urban","Western North","Both sexes",5,188,1274,1644,1138
"No","Tertiary - Bachelor's Degree","Urban","Western North","Male",3,101,820,1159,856
"No","Tertiary - Bachelor's Degree","Urban","Western North","Female",2,87,454,485,282
"No","Tertiary - Bachelor's Degree","Urban","Ahafo","Both sexes",15,203,1288,1648,1181
"No","Tertiary - Bachelor's Degree","Urban","Ahafo","Male",12,113,775,1044,794
"No","Tertiary - Bachelor's Degree","Urban","Ahafo","Female",3,90,513,604,387
"No","Tertiary - Bachelor's Degree","Urban","Bono","Both sexes",26,791,4118,5366,3872
"No","Tertiary - Bachelor's Degree","Urban","Bono","Male",13,426,2255,3121,2410
"No","Tertiary - Bachelor's Degree","Urban","Bono","Female",13,365,1863,2245,1462
"No","Tertiary - Bachelor's Degree","Urban","Dormaa Central Municipal","Both sexes",1,61,295,386,275
"No","Tertiary - Bachelor's Degree","Urban","Dormaa Central Municipal","Male",0,45,175,251,184
"No","Tertiary - Bachelor's Degree","Urban","Dormaa Central Municipal","Female",1,16,120,135,91
"No","Tertiary - Bachelor's Degree","Urban","Bono East","Both sexes",14,368,2097,3242,2364
"No","Tertiary - Bachelor's Degree","Urban","Bono East","Male",7,191,1266,2064,1639
"No","Tertiary - Bachelor's Degree","Urban","Bono East","Female",7,177,831,1178,725
"No","Tertiary - Bachelor's Degree","Urban","Oti","Both sexes",5,65,516,872,717
"No","Tertiary - Bachelor's Degree","Urban","Oti","Male",5,43,340,597,541
"No","Tertiary - Bachelor's Degree","Urban","Oti","Female",0,22,176,275,176
"No","Tertiary - Bachelor's Degree","Urban","Northern","Both sexes",44,753,3395,5613,4644
"No","Tertiary - Bachelor's Degree","Urban","Northern","Male",18,381,1974,3653,3273
"No","Tertiary - Bachelor's Degree","Urban","Northern","Female",26,372,1421,1960,1371
"No","Tertiary - Bachelor's Degree","Urban","TMA-Tamale Central","Both sexes",5,111,453,691,563
"No","Tertiary - Bachelor's Degree","Urban","TMA-Tamale Central","Male",3,48,237,425,378
"No","Tertiary - Bachelor's Degree","Urban","TMA-Tamale Central","Female",2,63,216,266,185
